empresa,bem,quantidade,parlamentar,valor_unit,estado,municipio,beneficiario,entrega_realizada_pelo_fornecedor,pagamento,doacao,status_doacao,entrega_fisica,data_entrega,area,intervencao,quant_doada,item,latitude,longitude,evento_realizado
WATT TECNOLOGIA LTDA,Tanque Decantador 400 lts / 560 Kg,24,nao informado,3300,PI,Milton Brandao,ASSOCIACAO DOS PRODUTORES RURAIS DA COMUNIDADE BURITIZINHO,Sim,Pago,Sim,Termo de Cessao,Sim,2024-10-14,Apicultura ,Maquinas e equipamentos,1,7,-4.682945999999999,-41.417343,Sim
COMBRAS COMERCIAL DE MATERIAL PERMANENTE E DE CONSUMO LTDA,Tanque-rede (2x2),159,nao informado,1990,PI,Patos do Piaui,PREFEITURA MUNICIPAL DE PATOS DO PIAUI,Sim,Pago,Sim,Termo de Doacao,Sim,2024-09-12,Aquicultura e pesca,Maquinas e equipamentos,30,23,-7.672309999999999,-41.24081699999999,Sim
TCN COMERCIO E CONSTRUCAO ,Embarcacao de 6m e motor de popa 2T 15HP,25,CASTRO NETO,17000,PI,Sigefredo Pacheco,ASSOCIACAO ANTONIA DORA,Sim,Pago,Sim,Termo de Cessao,Sim,2024-12-17,Aquicultura e pesca,Maquinas e equipamentos,1,1,-4.916646999999999,-41.731123,Sim
TCN COMERCIO E CONSTRUCAO ,Embarcacao de 6m e motor de popa 2T 15HP,25,CASTRO NETO,17000,PI,Caxingo,ASSOCACAO DOS PISCICULTORES DE CAJAZEIRAS DE BAIXO,Sim,Pago,Sim,Termo de Cessao,Sim,2025-01-27,Aquicultura e pesca,Maquinas e equipamentos,1,1,-3.4190439999999995,-41.895476,Sim
TCN COMERCIO E CONSTRUCAO ,Embarcacao de 6m e motor de popa 2T 15HP,25,CASTRO NETO,17000,PI,Teresina,CODEVASF 7 SR,Sim,Pago,Nao,Item Interno,Nao,item nao doado,Aquicultura e pesca,Maquinas e equipamentos,1,1,-5.090657,-42.800133,Nao
WATT TECNOLOGIA LTDA,UEPA Container extracao de mel,3,nao informado,129100,PI,Bonfim do Piaui,ASSOCIACAO DOS APICULTORES DE BONFIM DO PIAUI - AABP,Sim,Pago,Sim,Termo de Cessao,Sim,2024-03-07,Apicultura ,Maquinas e equipamentos,1,5,-9.180930999999998,-42.883466,Sim
COMBRAS COMERCIAL DE MATERIAL PERMANENTE E DE CONSUMO LTDA,Conjunto embaladeira para polpa de frutas,1,ELMANO FERRER,38673,PI,Jose de Freitas,ASSOCIACAO DE DESENVOLVIMENTO COMUNITARIO DE CONTENDAS,Sim,Pago,Sim,Termo de Doacao,Sim,2023-12-27,Agricultura familiar,Maquinas e equipamentos,1,7,-4.751458,-42.574586,Sim
COMBRAS COMERCIAL DE MATERIAL PERMANENTE E DE CONSUMO LTDA,Despolpadora em aco inoxidavel AISI 304,1,ELMANO FERRER,9900,PI,Jose de Freitas,ASSOCIACAO DE DESENVOLVIMENTO COMUNITARIO DE CONTENDAS,Sim,Pago,Sim,Termo de Doacao,Sim,2023-12-27,Agricultura familiar,Maquinas e equipamentos,1,8,-4.751458,-42.574586,Sim
C N JACOBINA-ME,Freezer horizontal 500L,2,ELMANO FERRER,3950,PI,Jose de Freitas,ASSOCIACAO DE DESENVOLVIMENTO COMUNITARIO DE CONTENDAS,Sim,Pago,Sim,Termo de Doacao,Sim,2023-12-27,Agricultura familiar,Maquinas e equipamentos,2,11,-4.751458,-42.574586,Sim
GERACAO COMERCIO E SERVICOS LTDA,Mesa em aco inox ASI-304,1,ELMANO FERRER,2746.48,PI,Jose de Freitas,ASSOCIACAO DE DESENVOLVIMENTO COMUNITARIO DE CONTENDAS,Sim,Pago,Sim,Termo de Doacao,Sim,2023-12-27,Agricultura familiar,Maquinas e equipamentos,1,15,-4.751458,-42.574586,Sim
INFANTARIA  COMERCIAL EIRELI,Liquidificador industrial,2,ELMANO FERRER,800,PI,Jose de Freitas,ASSOCIACAO DE DESENVOLVIMENTO COMUNITARIO DE CONTENDAS,Sim,Pago,Sim,Termo de Doacao,Sim,2023-12-27,Agricultura familiar,Maquinas e equipamentos,1,14,-4.751458,-42.574586,Sim
