MUNICIPIOS,LATITUDE_MUNICIPIOS,LONGITUDE_MUNICIPIOS,QUANTIDADE
AGUA BRANCA  ,-5.889610050144409,-42.634258620406,2
ALTOS  ,-5.040501512036506,-42.458527716827,3
ANGICAL DO PIAUI  ,-6.08728848878261,-42.734537704896745,4
BARRA DURO  ,-5.820897673517355,-42.50982764612018,2
BELEM DO PIAUI  ,-7.3768008594614365,-40.971322158838056,1
BENEDITINOS  ,-5.455034678880185,-42.36100260121043,3
BRASILEIRA  ,-4.131529030916302,-41.78235322450369,6
BREJO DO PIAUI  ,-8.206365572259942,-42.83419564292688,6
BURITI DOS MONTES  ,-5.312605561775288,-41.09623753875129,11
CAJAZEIRAS DO PIAUI  ,-6.797151747461104,-42.39074799693638,5
CANTO DO BURITI  ,-8.11107262952759,-42.94407179690171,6
CARACOL  ,-9.284802503934095,-43.32711230610789,8
CASTELO DO PIAUI  ,-5.322749312197884,-41.55001967523167,4
CURIMATA  ,-10.035188790238344,-44.30072961218263,7
CURRALINHOS  ,-5.618415713284003,-42.82766262024914,6
DIRCEU ARCOVERDE  ,-9.341039592903448,-42.43803475954842,17
ELESBAO VELOSO  ,-6.199924224881578,-42.13420219379654,5
FLORES DO PIAUI  ,-7.792457322332304,-42.92429555755493,11
FLORESTA DO PIAUI  ,-7.467694239149313,-41.7992716048636,6
FLORIANO  ,-6.781122645454166,-43.02359449097019,1
FRANCISCO MACEDO  ,-7.327260501722166,-40.79085525459444,6
FRANCISCO SANTOS  ,-6.993795175070468,-41.13612574743163,9
FRONTEIRAS  ,-7.088878790226807,-40.61370339798913,1
GILBUES  ,-9.828997387370482,-45.33856407986746,6
INHUMA  ,-6.668379285862677,-41.70911625461079,14
ISAIAS COELHO  ,-7.735396971105851,-41.67647858211685,8
ITAUEIRA  ,-7.598671469587867,-43.02729567787406,6
JOAO COSTA  ,-8.488821927484631,-42.41735200220558,2
JOSE DE FREITAS  ,-4.758292808152811,-42.57628758895366,2
JUAZEIRO DO PIAUI  ,-5.170804334320552,-41.70690627443708,3
JUREMA  ,-9.22131492593854,-43.12855156988163,3
LAGOA DE SAO FRANCISCO  ,-4.392576502814044,-41.6029837548092,5
LANDRI SALES  ,-7.264547033421214,-43.93092907363797,14
LUIS CORREIA  ,-2.8813549856682306,-41.66533668448637,1
