PLANILHA,ORDEM,CONTRATO,LOCALIDADES,DATA_DE_PERFURACAO,DATA_DE_INSTALACAO,SITUACAO,LATITUDE_DMS,LONGITUDE_DMS,LATITUDE_POCOS,LONGITUDE_POCOS,DATA_DE_INTALACAO
70284,,,INHUMA,16/08/2024,3/22/2025,PERFURADO E INSTALADO,06°40'53.22''S,41°38'58.14''W,-6.68145,-41.649483,
70284,,,INHUMA,02/10/2024,2/23/2025,PERFURADO E INSTALADO,06°38'11.58''S,41°43'13.06''W,-6.63655,-41.720294,
70284,,,INHUMA,26/10/2024,3/20/2025,PERFURADO E INSTALADO,06°38'6.28''S,41°48'29.74''W,-6.635078,-41.808261,
70284,,,LUIS CORREIA,29/11/2024,,PERFURADO E INSTALADO,02°53'53.5''S,41°39'37.7''W,-2.898194,-41.660472,
70284,,,PAU DARCO DO PIAUI,25/07/2024,4/10/2025,PERFURADO E INSTALADO,05°15'3.60''S,42°23'6.1''W,-5.250999,-42.385028,
70284,,,SANTA ROSA DO PIAUI,25/08/2024,1/28/2025,PERFURADO E INSTALADO,06°49'4.00''S,42°10'58.00''W,-6.817778,-42.182778,
70284,,,SANTA ROSA DO PIAUI,25/08/2024,1/31/2025,PERFURADO E INSTALADO,06°47'55.00''S,42°9'55.00''W,-6.798611,-42.165278,
70284,,,SANTA ROSA DO PIAUI,26/08/2024,5/29/2025,PERFURADO E INSTALADO,06°48'53.00''S,42°13'15.00''W,-6.814722,-42.220833,
70284,,,SIGEFREDO PACHECO,01/12/2024,4/4/2025,PERFURADO E INSTALADO,04°58'18.746,41°46'29.136,-4.971874,-41.77476,
70284,,,SIGEFREDO PACHECO,02/12/2024,2/24/2025,PERFURADO E INSTALADO,04°52'22.91''S,41°40'56.89''W,-4.873031,-41.682469,
70284,,,SIGEFREDO PACHECO,04/12/2024,3/30/2025,PERFURADO E INSTALADO,05°10'34.50''S,41°54'18.39''W,-5.17625,-41.905108,
70284,,,TERESINA,14/03/2025,,PERFURADO E INSTALADO,04°59'34.87''S,42°41'49.95''W,-4.992964,-42.696097,
70284,,,TERESINA,15/04/2025,,PERFURADO E INSTALADO,04°59'43.53''S,42°38'20.76''W,-4.995425,-42.6381,
70284,,,TERESINA,01/04/2025,IMPRODUTIVO,IMPRODUTIVO,04°59'43.53''S,42°38'20.76''W,-4.995425,-42.6381,
