of,contrato,empenho,empresa,cnpj,ano,ptres,plano_interno,processo,ted,bem,area,macro_area,intervencao,quantidade,parlamentar,rec_int,pregao,valor_unit,estado,municipio,latitude,longitude,beneficiario,cnpj_bene,contato,telefone,vencimento,responsavel_pela_informacao,entrega_realizada_pelo_fornecedor,processo_pagamento,pagamento,chassi_bt,chassi,serie_bt,serie,placa_bt,placa,ebm,ebm_bt,localizacao,punicao,obs_punicao,doacao,proc_doacao,status_doacao,termo_doacao,data_doacao,detalhe_da_doacao,data_ces,vencimento_do_encago,encargo,encargo_pagamnto,status_vencimento,det_enc,analista_responsavel,localizacao_do_bem,termo_publicado,entrega_fisica,baixa,data_entrega,of_emissao,metodo_doacao,intermedio,evento,item,marca,evento_realizado
7.0213/2017,NULL,2017NE570841,EMPORIUM CONSTRUTORA COMÉRCIO E SERVIÇOS LTDA,05.163.253/0001-08,2017,130969 - 15.244.2029.7k66.0022 - APOIO A PROJETOS DE DESENVOLVIMENTO SUSTENTÁVEL LOCAL INTEGRADO-PI,19350003PI2 - EMENDA - ÁTILA LIRA - PSB/PI,59570.000800/2017-65,NULL,Caminhão carroceria em madeira,"Caminhões, veículos leves de carga e utilitários","Caminhões, veículos leves de carga e utilitários",Máquinas e equipamentos,TRUE,ÁTILA LIRA,Não,15/2017 - 7ª SR,164480,PI,Alagoinha do Piauí,-7.00039199999999973,-40.92816999999999439,ASSOCIAÇÃO DE MORADORES E PEQUENOS AGRICULTORES E PRODUTORES RURAIS DE JOÃO FERREIRA - AMPAPRUJF,10.843.790/0001-20,,,NULL,,Sim,59570.001297/2018-46,Pago,Não,,Não,,Não,,,Não,NULL,Não,NULL,Sim,,Termo de Doação,7.057.00/2019,2019-07-08,,NULL,NULL,Isento,Não,NULL,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2019-05-20,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0230/2017,NULL,2017NE570867,MAQTRAL MÁQUINAS PEÇAS E TRATORES,07.736.287/0001-61,2017,110283 - 20.608.2029.214S.0001 - ESTRUTURAÇÃO E DINAMIZAÇÃO DE ATIVIDADES PRODUTIVAS - NACIONAL,NA0000SAPL1 - TED Codevasf,59570.001233/2017-64,TED-19/2017-SDR/MI,"Trator agrícola 88 CV, 4x4",Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,HERÁCLITO FORTES,Não,07/2017 - 5ª SR,98500,PI,Anísio de Abreu,-9.18564299999999889,-43.04940999999999462,ASSOCIAÇÃO DOS PEQUENOS PRODUTORES E APICULTORES RURAIS DA COMUNIDADE BARREIRO DOS DOUCAS,18.627.145/0001-82,,,NULL,,Sim,59570.000493/2018-01,Pago,Não,,Sim,V750489591,Não,,235.958-6,Sim,NULL,Não,NULL,Sim,,Termo de Doação,7.014.00/2018,2018-09-12,,NULL,2019-11-19,Não Isento,Sim,Pago,Notificado pelo ofício nº 801/2023. Prazo: 25/06/2023,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2018-07-02,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0295/2017,NULL,2017NE570952,RK INDUSTRIA DE IMPLEMENTOS AGRICOLAS EIRELI - EPP,05.043.720/0001-58,2017,110283 - 20.608.2029.214S.0001 - ESTRUTURAÇÃO E DINAMIZAÇÃO DE ATIVIDADES PRODUTIVAS - NACIONAL,NA0000SAPL1 - TED Codevasf,59570.001233/2017-64,TED-19/2017-SDR/MI,Grade Aradora 16/24,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,HERÁCLITO FORTES,Não,07/2017 - 5ª SR,15669,PI,Anísio de Abreu,-9.18564299999999889,-43.04940999999999462,ASSOCIAÇÃO DOS PEQUENOS PRODUTORES E APICULTORES RURAIS DA COMUNIDADE BARREIRO DOS DOUCAS,18.627.145/0001-82,,,NULL,,Sim,59570.001264/2018-04,Pago,Não,,Sim,18/2039,Não,,,Não,NULL,Não,NULL,Sim,,Termo de Doação,7.009.00/2019,2019-01-29,,NULL,NULL,Isento,Não,NULL,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2018-10-01,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0264/2017,NULL,2017NE570918,AGROINDUSTRIAL FREITAS LTDA EPP,21.344.856/0001-54,2017,110283 - 20.608.2029.214S.0001 - ESTRUTURAÇÃO E DINAMIZAÇÃO DE ATIVIDADES PRODUTIVAS - NACIONAL,NA0000SAPL1 - TED Codevasf,59570.001233/2017-64,TED-19/2017-SDR/MI,Carreta Agrícola em madeira 4T,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,HERÁCLITO FORTES,Não,07/2017 - 5ª SR,7000,PI,Anísio de Abreu,-9.18564299999999889,-43.04940999999999462,ASSOCIAÇÃO DOS PEQUENOS PRODUTORES E APICULTORES RURAIS DA COMUNIDADE BARREIRO DOS DOUCAS,18.627.145/0001-82,,,NULL,,Sim,59570.001662/2018-12,Pago,Não,,Sim,740,Não,,,Não,NULL,Não,NULL,Sim,,Termo de Doação,7.024.00/2019,2019-03-21,,NULL,NULL,Isento,Não,NULL,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2019-03-14,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0324/2017,NULL,2017NE570985,EBR BRASIL FORTE COMÉRCIO E EQUIPAMENTOS EIRELI,07.865.480/0001-00,2017,131050 - 15.244.2029.7k66.0022 - APOIO A PROJETOS DE DESENVOLVIMENTO SUSTENTÁVEL LOCAL INTEGRADO-PI,37440002PI2 - EMENDA-REJANE DIAS-PI,59570.001233/2017-64,NULL,Microtrator 14 CV,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,MAIA FILHO,Não,07/2017 - 5ª SR,13799,PI,Aroeiras do Itaim,-7.2794724,-41.5738817,PREFEITURA MUNICIPAL DE AROEIRAS DO ITAIM,07.165.549/0001-85,Prefeito Edmilson (89) 98125-3393,NULL,2018-07-04,,Não,,NULL,Não,,Não,NULL,Não,NULL,,Não,NULL,Sim,"O. F. foi recebida em 05/04/2018 pela empresa. Fornecedora não entregou o bem, nem justificou. Aplicado as sanções legais por abandono de contrato através de Ofício 156/2018 -7ª SR de 07/11/2018.",Não,NULL,Item Não Fornecido,NULL,2018-07-04,,0000-00-00,0000-00-00,Isento,NULL,NULL,,Rogério Cardoso,,Não,Não,Não,NULL,Emitida,Direta,NULL,NULL,NULL,,Não
7.0328/2017,NULL,2017NE570989,MARCASSIO INDÚSTRIA E COMÉRCIO DE MÁQUINAS AGRÍCOLAS,00.540.503/0001-50,2017,131050 - 15.244.2029.7k66.0022 - APOIO A PROJETOS DE DESENVOLVIMENTO SUSTENTÁVEL LOCAL INTEGRADO-PI,37440002PI2 - EMENDA-REJANE DIAS-PI,59570.001233/2017-64,NULL,Plantadeira para microtrator,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,MAIA FILHO,Não,07/2017 - 5ª SR,10998,PI,Aroeiras do Itaim,-7.2794724,-41.5738817,PREFEITURA MUNICIPAL DE AROEIRAS DO ITAIM,07.165.549/0001-85,Prefeito Edmilson (89) 98125-3393,,NULL,,Sim,59570.001096/2018-49,Pago,Não,,Sim,1176,Não,,,Não,NULL,Não,NULL,Sim,,Termo de Doação,7.142.00/2019,2019-12-19,,NULL,NULL,Não Isento,Não,NULL,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2022-02-24,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0270/2017,NULL,2017NE570924,AGROINDUSTRIAL FREITAS LTDA EPP,21.344.856/0001-54,2017,110283 - 20.608.2029.214S.0001 - ESTRUTURAÇÃO E DINAMIZAÇÃO DE ATIVIDADES PRODUTIVAS - NACIONAL,NA0000SAPL1 - TED Codevasf,59570.001233/2017-64,TED-19/2017-SDR/MI,Carreta Agrícola em madeira 4T,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,HERÁCLITO FORTES,Não,07/2017 - 5ª SR,7000,PI,Avelino Lopes,-10.13448700000000002,-43.9563050000000004,ASSOCIAÇÃO DOS TRABALHADORES RURAIS DE AVELINO LOPES,23.518.632/0001-47,,,NULL,,Sim,59570.001662/2018-12,Pago,Não,,Sim,743,Não,,,Não,NULL,Não,NULL,Sim,,Termo de Doação,7.149.00/2019,2019-09-19,,NULL,NULL,Isento,Não,NULL,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2019-10-03,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0302/2017,NULL,2017NE570959,RK INDUSTRIA DE IMPLEMENTOS AGRICOLAS EIRELI - EPP,05.043.720/0001-58,2017,110283 - 20.608.2029.214S.0001 - ESTRUTURAÇÃO E DINAMIZAÇÃO DE ATIVIDADES PRODUTIVAS - NACIONAL,NA0000SAPL1 - TED Codevasf,59570.001233/2017-64,TED-19/2017-SDR/MI,Grade Aradora 16/24,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,HERÁCLITO FORTES,Não,07/2017 - 5ª SR,15669,PI,Avelino Lopes,-10.13448700000000002,-43.9563050000000004,ASSOCIAÇÃO DOS TRABALHADORES RURAIS DE AVELINO LOPES,23.518.632/0001-47,,,NULL,,Sim,59570.001130/2018-85,Pago,Não,,Sim,18/2032,Não,,,Não,NULL,Não,NULL,Sim,,Termo de Doação,7.032.00/2018,2018-12-21,,NULL,2019-11-19,Não Isento,Não,Vencido,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2019-10-03,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0234/2017,NULL,2017NE570871,MAQTRAL MÁQUINAS PEÇAS E TRATORES,07.736.287/0001-61,2017,110283 - 20.608.2029.214S.0001 - ESTRUTURAÇÃO E DINAMIZAÇÃO DE ATIVIDADES PRODUTIVAS - NACIONAL,NA0000SAPL1 - TED Codevasf,59570.001233/2017-64,TED-19/2017-SDR/MI,"Trator agrícola 88 CV, 4x4",Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,HERÁCLITO FORTES,Não,07/2017 - 5ª SR,98500,PI,Avelino Lopes,-10.13448700000000002,-43.9563050000000004,ASSOCIAÇÃO DOS TRABALHADORES RURAIS DE AVELINO LOPES,23.518.632/0001-47,,,NULL,,Sim,59570.000493/2018-01,Pago,Não,,Sim,V750489612,Não,,235.962-7,Sim,NULL,Não,NULL,Sim,,Termo de Doação,7.013.00/2018,2018-07-09,,NULL,2019-07-05,Não Isento,Sim,Pago,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2018-07-02,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0379/2017,NULL,2017NE571215,F. BONTEMPO BRUM PIRES EIRELLI,20.121.168/0001-62,2017,130959 - 15.244.2029.7k66.0022 - APOIO A PROJETOS DE DESENVOLVIMENTO SUSTENTÁVEL LOCAL INTEGRADO-PI,12460003PI2 - EMENDA - JÚLIO CESAR - PSD/PI,59570.000713/2017-16,NULL,Carreta tanque 4.000 L,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,JÚLIO CÉSAR,Não,14/2017 - 7ª SR,14995,PI,Barras,-4.24467499999999909,-42.29216099999999301,ASSOCIAÇÃO DE MORADORES RURAIS DA COMUNIDADE CANTO DO SINDOR,73.836.637/0001-96,,NULL,2018-08-09,,Não,,NULL,Não,,Não,NULL,Não,NULL,,Não,NULL,Sim,O. F. foi recebida em 11/04/2018 pela empresa. Fornecedora não entregou o bem. Processo arquivado não podendo ser adotada pela Codevasf cobrança de multa por inexistência da empresa.,Não,NULL,Item Não Fornecido,NULL,2018-08-09,,0000-00-00,0000-00-00,Isento,NULL,NULL,,Rogério Cardoso,,Não,Não,Não,NULL,Emitida,Direta,NULL,NULL,NULL,,Não
